intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
0.922362,0.010221,0.959171,0.152517,0.462199,0.045180,2.048542,0.296616,-0.120348,0.436256,-0.760405,0.436869,0.001500,0.65,-0.945,7.4
1.012562,0.023659,0.957346,0.339167,0.715823,0.100472,2.599802,0.680857,0.107308,1.034018,-1.349252,1.034822,0.001500,0.88,-0.945,7.4
0.975627,0.010303,0.908524,0.158124,0.441769,0.046579,2.031362,0.301529,0.459026,0.433087,-1.248987,0.435660,0.001500,0.65,-0.835,7.4
0.932450,0.029716,0.998516,0.407266,0.646223,0.130238,3.073385,0.858548,-0.947617,1.190869,-0.519078,1.188031,0.001500,0.88,-0.835,7.4
1.018667,0.013411,0.878006,0.212169,0.202842,0.062587,0.954531,0.399427,1.434699,0.559814,-1.538959,0.563888,0.001500,0.65,-0.725,7.4
1.093999,0.049399,0.630958,0.834259,-0.073440,0.229018,-0.118030,1.556781,-1.300480,1.980967,0.929407,1.979395,0.001500,0.88,-0.725,7.4
1.020749,0.017540,1.021269,0.276445,0.037418,0.082989,0.486556,0.524743,1.598878,0.743547,-1.031454,0.747432,0.001500,0.65,-0.615,7.4
0.870326,0.048908,0.604759,0.720499,0.072729,0.233622,3.996572,1.266534,-1.122591,2.086669,2.839677,2.069988,0.001500,0.88,-0.615,7.4
1.078776,0.021925,0.932517,0.356976,-0.012680,0.104076,-0.156343,0.667247,0.546699,0.902017,-0.366839,0.903544,0.001500,0.65,-0.505,7.4
1.247744,0.078007,2.700718,1.138573,0.798199,0.317248,2.992832,2.039382,0.689746,2.629458,0.604267,2.623936,0.001500,0.88,-0.505,7.4
1.041314,0.023315,1.464822,0.355283,-0.067203,0.112296,0.813328,0.688727,0.913928,0.998426,-1.274368,1.003822,0.001500,0.65,-0.395,7.4
1.038042,0.066505,0.215233,1.001231,-0.025008,0.323476,2.107789,1.928513,-2.376728,2.323489,0.123896,2.330919,0.001500,0.88,-0.395,7.4
1.140803,0.027287,1.431039,0.428393,-0.139595,0.132253,0.261891,0.816922,-0.642884,1.139482,-1.222672,1.141607,0.001500,0.65,-0.285,7.4
