intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
1.007841,0.006949,0.914183,0.111577,0.344717,0.032764,1.689407,0.207869,0.325729,0.292090,-1.185168,0.293156,0.001500,0.65,-0.945,7.4
1.027594,0.009041,0.316268,0.147261,0.292383,0.043438,1.432733,0.272690,0.645296,0.373806,-1.058164,0.374851,0.001500,0.88,-0.945,7.4
1.029503,0.007163,1.088366,0.114248,0.304120,0.034454,1.619576,0.217477,0.323800,0.299684,-1.316711,0.300772,0.001500,0.65,-0.835,7.4
1.050148,0.015001,0.662773,0.244089,0.379800,0.070896,0.767085,0.451290,0.965697,0.624799,-1.281986,0.627595,0.001500,0.88,-0.835,7.4
1.010597,0.009042,0.976852,0.148280,0.244950,0.044087,1.429094,0.274679,1.104536,0.372764,-0.782009,0.374300,0.001500,0.65,-0.725,7.4
1.021060,0.025022,0.371206,0.428189,0.146889,0.124195,0.556357,0.732413,-0.201567,1.068379,-1.928858,1.070265,0.001500,0.88,-0.725,7.4
0.942064,0.011145,0.814755,0.183530,0.127777,0.054058,0.267456,0.334200,1.450125,0.474686,-1.431111,0.477696,0.001500,0.65,-0.615,7.4
1.258976,0.041441,-0.186049,0.717326,-0.228971,0.216400,-0.917390,1.307346,1.522770,1.690658,-1.928149,1.698249,0.001500,0.88,-0.615,7.4
0.920615,0.013350,0.156148,0.226676,-0.188921,0.069242,-0.293442,0.426609,0.592795,0.560779,-0.267964,0.561971,0.001500,0.65,-0.505,7.4
0.815797,0.031525,0.463174,0.550095,-0.370580,0.165511,-0.042167,0.974456,1.221504,1.311968,-3.146478,1.333287,0.001500,0.88,-0.505,7.4
1.027373,0.016804,1.216258,0.274431,0.024197,0.082989,0.891820,0.523830,1.218779,0.705613,-2.823926,0.713466,0.001500,0.65,-0.395,7.4
1.030878,0.044206,-0.300182,0.723500,-0.183617,0.234767,-1.487701,1.407354,-1.527706,1.838172,0.131593,1.829849,0.001500,0.88,-0.395,7.4
