intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
1.016639,0.015638,1.090650,0.252317,0.327947,0.070868,1.316662,0.464427,-0.646078,0.619341,-1.529271,0.619340,0.001500,0.65,-0.945,7.4
1.002077,0.025514,-0.336041,0.407937,0.409303,0.114098,1.237527,0.778597,0.981320,0.997583,-2.514601,1.000805,0.001500,0.88,-0.945,7.4
0.916983,0.013824,0.638316,0.213804,0.361390,0.062035,1.376322,0.414851,0.444025,0.562364,-1.439857,0.562760,0.001500,0.65,-0.835,7.4
0.932106,0.035953,-0.148134,0.583473,0.475661,0.152486,0.743760,1.086875,0.219227,1.366201,-1.349685,1.366725,0.001500,0.88,-0.835,7.4
0.963550,0.019293,0.595842,0.313472,0.260215,0.088809,1.036541,0.592012,0.512700,0.798258,-0.487369,0.798120,0.001500,0.65,-0.725,7.4
0.741411,0.047291,-0.060636,0.742312,0.382298,0.200534,0.865404,1.317497,2.283121,1.858387,-0.012383,1.857147,0.001500,0.88,-0.725,7.4
1.056431,0.030356,1.053118,0.501951,-0.106667,0.145692,1.120692,0.918988,0.135834,1.252810,-1.275664,1.252934,0.001500,0.65,-0.615,7.4
1.015196,0.091952,1.636335,1.433903,-0.003449,0.450744,-2.182954,2.609612,-0.637731,2.869858,-2.448409,2.877433,0.001500,0.88,-0.615,7.4
1.104306,0.040630,1.905680,0.652927,-0.116762,0.192048,-0.818489,1.261747,0.316290,1.564387,-0.828808,1.566130,0.001500,0.65,-0.505,7.4
1.004084,0.097155,0.900788,1.689440,0.277751,0.414616,-0.637570,2.621573,0.347720,3.347528,-0.162244,3.348097,0.001500,0.88,-0.505,7.4
0.798464,0.033028,1.106703,0.548372,-0.030099,0.154121,0.296867,1.044258,1.927418,1.244862,-0.775244,1.244419,0.001500,0.65,-0.395,7.4
0.687392,0.071202,-0.020575,0.997780,0.144985,0.331325,-0.818269,1.990871,0.096645,2.906910,-2.078699,2.916630,0.001500,0.88,-0.395,7.4
1.242601,0.058840,1.549283,0.933171,0.202582,0.268173,1.525191,1.745538,-0.500811,2.111846,2.241504,2.112766,0.001500,0.65,-0.285,7.4
0.366299,0.051340,1.152703,1.061317,-1.432805,0.214080,-3.390880,1.994722,-3.340074,2.162208,3.916034,2.187466,0.001500,0.88,-0.285,7.4
0.697786,0.040474,0.339981,0.662795,-0.092871,0.191548,-0.563920,1.187580,-0.825642,1.675610,-0.457112,1.671321,0.001500,0.65,-0.175,7.4
1.904029,0.661313,-0.120687,4.988883,-1.305912,2.963015,0.225844,4.974521,-0.102259,4.993961,0.149902,4.993958,0.001500,0.88,-0.175,7.4
0.811445,0.049383,-0.497438,0.822228,-0.188698,0.242165,2.095481,1.335379,1.318431,1.862063,-0.169623,1.862988,0.001500,0.65,-0.065,7.4
0.210590,0.048595,1.151150,1.375371,0.031447,0.185200,1.631466,1.006229,-1.636652,2.196274,2.489544,2.231296,0.001500,0.88,-0.065,7.4
0.926319,0.064459,0.942571,1.106608,-0.331124,0.317347,0.952550,2.073184,2.338284,2.068630,1.825731,2.062463,0.001500,0.65,0.045,7.4
0.256025,0.070908,-4.065915,1.371037,-0.582759,0.301635,-1.853006,2.697551,2.533422,1.997558,-2.549955,2.295283,0.001500,0.88,0.045,7.4
0.989457,0.013807,0.929289,0.219895,0.379020,0.062015,1.224771,0.414751,0.312145,0.553220,-1.998129,0.553763,0.001500,0.65,-0.945,9.9
0.845243,0.019384,0.679722,0.310101,0.157109,0.089035,0.923579,0.592972,0.553048,0.788793,-1.266785,0.789560,0.001500,0.88,-0.945,9.9
0.952372,0.013547,1.267860,0.214535,0.390620,0.060549,1.537171,0.394128,0.562735,0.539675,-2.038673,0.540421,0.001500,0.65,-0.835,9.9
1.171430,0.034904,0.520707,0.561990,0.387411,0.159568,1.696285,1.009453,0.684388,1.361968,-2.612972,1.366227,0.001500,0.88,-0.835,9.9
1.030881,0.017269,0.773948,0.284901,0.331001,0.077672,1.097597,0.520880,0.595963,0.693374,0.217771,0.693368,0.001500,0.65,-0.725,9.9
0.961651,0.040232,-0.138364,0.678995,-0.103880,0.188885,0.839666,1.218967,1.811444,1.612626,-0.072047,1.612436,0.001500,0.88,-0.725,9.9
0.925352,0.020280,1.249501,0.335501,0.061802,0.093404,-0.268548,0.617344,0.787940,0.828694,-1.026758,0.829317,0.001500,0.65,-0.615,9.9
0.771938,0.041238,1.178241,0.625308,-0.006258,0.193111,0.808071,1.237829,0.191437,1.478638,-1.235174,1.478133,0.001500,0.88,-0.615,9.9
1.062930,0.027272,0.989444,0.433450,0.022926,0.127657,0.167339,0.848866,0.930771,1.121475,-0.698122,1.121593,0.001500,0.65,-0.505,9.9
1.275049,0.078371,3.847307,1.202122,0.047716,0.363876,0.385070,2.219543,3.331315,2.553018,-4.686816,2.562724,0.001500,0.88,-0.505,9.9
1.026478,0.029136,1.745942,0.458543,-0.064420,0.140646,0.250104,0.871505,-0.441441,1.153868,0.494487,1.153404,0.001500,0.65,-0.395,9.9
0.825024,0.057691,-2.391630,0.858906,0.365549,0.241740,-0.273738,1.664426,3.481964,2.228681,-1.110316,2.225332,0.001500,0.88,-0.395,9.9
0.910725,0.028834,1.033146,0.484164,-0.314720,0.140603,1.040888,0.886752,0.202605,1.217550,0.584757,1.217592,0.001500,0.65,-0.285,9.9
1.287637,0.101414,2.600393,1.551446,-0.681942,0.506810,0.145832,3.056657,-3.590899,3.193508,1.192574,3.167502,0.001500,0.88,-0.285,9.9
0.900133,0.033399,0.951219,0.564205,-0.387638,0.164452,-2.560609,1.002623,1.317279,1.288219,-2.151054,1.290190,0.001500,0.65,-0.175,9.9
1.179026,0.114135,0.399366,2.066409,-1.882331,0.619849,-2.510129,2.847462,2.225141,3.731348,1.413738,3.735798,0.001500,0.88,-0.175,9.9
1.093439,0.047001,1.442210,0.789784,-0.449006,0.230261,-0.362927,1.525787,1.826010,1.887446,-0.365524,1.886788,0.001500,0.65,-0.065,9.9
1.029616,0.130858,0.054052,1.837691,-1.241949,0.855107,0.093512,3.635572,-3.767976,3.789322,-3.874598,3.713251,0.001500,0.88,-0.065,9.9
0.882049,0.044486,2.096000,0.688841,-0.195429,0.218894,-1.525506,1.373172,3.084674,1.663101,0.824149,1.656600,0.001500,0.65,0.045,9.9
1.254975,0.176250,0.898329,2.680873,0.067620,0.958730,-0.405366,4.122353,6.960515,3.827133,5.658337,3.686090,0.001500,0.88,0.045,9.9
0.972254,0.013294,1.356961,0.208938,0.419304,0.059435,1.120528,0.397065,-0.928554,0.525265,-0.726811,0.524346,0.001500,0.65,-0.945,13.3
0.960431,0.020948,1.247766,0.331585,0.287363,0.093152,1.773491,0.622233,0.661093,0.864699,-1.028703,0.864837,0.001500,0.88,-0.945,13.3
1.005846,0.014144,1.551756,0.223727,0.357717,0.063704,1.175894,0.421026,-0.067138,0.565548,-0.863053,0.565348,0.001500,0.65,-0.835,13.3
1.090582,0.031638,0.778361,0.511500,0.361934,0.148147,1.514075,0.926985,1.291049,1.217526,0.293387,1.217506,0.001500,0.88,-0.835,13.3
0.917819,0.014625,1.235746,0.235591,0.213790,0.066994,0.910208,0.438994,0.626391,0.569368,-0.700571,0.569247,0.001500,0.65,-0.725,13.3
0.935932,0.032555,0.459546,0.547181,0.113833,0.149140,-0.580821,0.957804,-2.202203,1.185800,-1.388803,1.183882,0.001500,0.88,-0.725,13.3
0.905468,0.017547,1.033821,0.281395,0.018746,0.083621,0.990591,0.534102,-0.779284,0.706668,-0.698151,0.705783,0.001500,0.65,-0.615,13.3
0.844024,0.034142,1.832740,0.552950,0.004682,0.163606,1.521481,0.982396,1.996961,1.342357,-1.969684,1.342897,0.001500,0.88,-0.615,13.3
1.015138,0.022091,0.871446,0.348735,0.103594,0.104298,0.778825,0.646823,-0.582908,0.867340,-1.758436,0.867840,0.001500,0.65,-0.505,13.3
1.083524,0.048725,0.586215,0.762083,0.361494,0.221489,2.692303,1.450552,0.244400,1.848144,0.781973,1.848491,0.001500,0.88,-0.505,13.3
1.039706,0.023694,1.837376,0.384079,-0.225447,0.116804,-0.463501,0.756861,-1.418676,0.898391,1.560119,0.897249,0.001500,0.65,-0.395,13.3
0.765071,0.039951,0.050690,0.699050,-0.423202,0.203949,-1.320889,1.204567,-1.063442,1.568469,-3.208850,1.573403,0.001500,0.88,-0.395,13.3
1.049536,0.027094,1.300320,0.458174,-0.303714,0.134163,-0.766729,0.858503,-1.076271,1.031612,-1.268042,1.027991,0.001500,0.65,-0.285,13.3
1.494035,0.095227,2.948852,1.512073,-0.817986,0.485038,3.583988,2.713541,1.667888,3.022919,-1.949690,3.028623,0.001500,0.88,-0.285,13.3
0.980512,0.029436,1.635863,0.473794,0.056237,0.135791,1.499510,0.868702,-0.424032,1.171217,0.349865,1.170333,0.001500,0.65,-0.175,13.3
0.772625,0.062522,1.090751,0.879752,-0.168670,0.292313,0.503893,1.751593,-0.444769,2.408026,-1.606305,2.402523,0.001500,0.88,-0.175,13.3
1.128725,0.040077,1.550819,0.684660,-0.269616,0.195794,-1.158563,1.232669,-0.180992,1.475025,-2.551903,1.480794,0.001500,0.65,-0.065,13.3
1.058957,0.098146,2.550133,1.606173,-0.169224,0.483062,-1.360268,2.393543,-1.131397,2.983700,-0.735627,2.979075,0.001500,0.88,-0.065,13.3
0.993844,0.039158,1.036327,0.669423,-0.080549,0.181953,0.561221,1.092277,0.285565,1.703047,-2.512744,1.709516,0.001500,0.65,0.045,13.3
1.145498,0.135337,3.549118,2.507988,-0.639673,0.654228,-5.323739,3.494946,-0.053064,4.109413,0.810290,4.110193,0.001500,0.88,0.045,13.3
1.031131,0.015394,1.691588,0.237336,0.381801,0.069575,1.743366,0.452857,-1.038631,0.622046,-1.593088,0.621474,0.001500,0.65,-0.945,17.8
1.058942,0.023367,1.089664,0.396036,-0.005945,0.113176,0.389040,0.724234,-0.012381,0.903294,-0.475953,0.902824,0.001500,0.88,-0.945,17.8
1.033731,0.015735,1.457176,0.252380,0.212472,0.073564,0.874711,0.464972,-0.345775,0.609211,-0.857913,0.608557,0.001500,0.65,-0.835,17.8
0.911643,0.023734,1.124466,0.359730,0.236763,0.110763,1.678621,0.724150,-1.584130,0.959439,-0.294295,0.954646,0.001500,0.88,-0.835,17.8
0.900302,0.014461,1.664501,0.227420,0.132617,0.067114,0.407303,0.431367,-0.406618,0.594869,0.256038,0.594600,0.001500,0.65,-0.725,17.8
1.078648,0.030960,0.900879,0.486306,0.263073,0.142248,1.038369,0.923576,-0.119132,1.260108,1.971240,1.261268,0.001500,0.88,-0.725,17.8
0.887757,0.015848,1.390332,0.253718,-0.004317,0.074955,1.031264,0.475798,-0.501810,0.661620,-0.706956,0.660976,0.001500,0.65,-0.615,17.8
1.158486,0.037690,2.468472,0.633496,-0.191617,0.178777,1.372663,1.095162,0.063930,1.586486,-0.993913,1.585762,0.001500,0.88,-0.615,17.8
1.019753,0.019425,1.676967,0.324101,-0.097726,0.093468,0.466513,0.596622,-1.255845,0.791581,-1.314139,0.789930,0.001500,0.65,-0.505,17.8
1.118818,0.040431,2.340576,0.665437,0.016753,0.190943,0.560016,1.176450,0.296308,1.530302,-0.602692,1.528831,0.001500,0.88,-0.505,17.8
0.995346,0.020668,1.759776,0.335044,-0.095874,0.100583,0.552404,0.641413,-0.944103,0.818271,-0.892380,0.817170,0.001500,0.65,-0.395,17.8
1.011443,0.041720,1.650100,0.685320,-0.133179,0.201518,0.138840,1.303486,-1.342239,1.509921,-0.324376,1.498903,0.001500,0.88,-0.395,17.8
0.978799,0.022266,1.436999,0.377169,-0.254169,0.108313,0.452761,0.690688,-0.799683,0.892821,0.600286,0.892476,0.001500,0.65,-0.285,17.8
0.809737,0.039723,1.763647,0.609955,-0.666562,0.229246,0.181198,1.325372,-2.113651,1.448495,-2.347232,1.436554,0.001500,0.88,-0.285,17.8
0.849243,0.022469,1.924281,0.355376,0.038125,0.101886,-0.047835,0.677699,-0.022715,0.894008,0.830203,0.893739,0.001500,0.65,-0.175,17.8
0.999092,0.061584,3.217133,0.917331,-0.183790,0.270426,-1.346810,1.798422,-2.378362,2.413778,1.874852,2.399356,0.001500,0.88,-0.175,17.8
0.953410,0.028606,2.654321,0.429272,0.103471,0.132559,-0.363050,0.819363,1.805945,1.121139,-1.332880,1.122713,0.001500,0.65,-0.065,17.8
0.763196,0.055538,-0.959547,0.875973,-0.499367,0.290205,-5.144156,1.658070,-3.238897,2.045930,1.910318,2.023012,0.001500,0.88,-0.065,17.8
1.057824,0.036384,2.258138,0.571347,-0.324739,0.182597,-0.976579,1.090768,1.019791,1.526370,0.739155,1.526317,0.001500,0.65,0.045,17.8
0.817594,0.072447,1.078788,1.113526,-0.198187,0.333507,-1.243966,2.101839,-2.839941,2.345523,0.744112,2.291610,0.001500,0.88,0.045,17.8
1.023054,0.018461,1.835261,0.304677,0.316186,0.083569,1.539429,0.537461,-0.727475,0.702747,-1.413794,0.703195,0.001500,0.65,-0.945,23.8
0.912492,0.020476,0.693882,0.328324,0.202213,0.093152,0.566258,0.615913,-0.437914,0.813259,-0.152052,0.811514,0.001500,0.88,-0.945,23.8
1.053348,0.018002,2.285723,0.283331,0.261128,0.080880,2.085016,0.534137,-0.061146,0.731893,-0.487572,0.731118,0.001500,0.65,-0.835,23.8
0.958600,0.023330,1.826896,0.371039,0.090294,0.110310,0.700392,0.694819,0.239226,0.990356,0.183426,0.990131,0.001500,0.88,-0.835,23.8
1.065286,0.018641,2.221096,0.296712,0.050671,0.086549,-0.102300,0.557980,-2.105579,0.742642,0.319063,0.737297,0.001500,0.65,-0.725,23.8
1.084650,0.028359,1.283476,0.446132,0.223560,0.129801,0.911824,0.802485,-2.266726,1.147386,0.058319,1.140175,0.001500,0.88,-0.725,23.8
1.006331,0.018747,2.637344,0.292221,-0.110579,0.089633,0.548830,0.582909,0.114671,0.750434,-2.308341,0.753550,0.001500,0.65,-0.615,23.8
0.923434,0.025571,1.694813,0.397213,0.222591,0.115712,2.474811,0.701958,-0.620677,1.023751,-0.956225,1.024395,0.001500,0.88,-0.615,23.8
0.900313,0.017189,1.722703,0.271829,0.024668,0.079677,0.629217,0.537217,-1.426429,0.676830,-1.994900,0.676780,0.001500,0.65,-0.505,23.8
0.962170,0.030310,2.089799,0.506421,-0.070489,0.136216,0.020497,0.843876,-0.111940,1.179157,-2.130227,1.182523,0.001500,0.88,-0.505,23.8
1.028420,0.020503,1.891924,0.337680,-0.234129,0.100625,0.172420,0.646672,-0.710072,0.831731,0.048433,0.830108,0.001500,0.65,-0.395,23.8
0.904468,0.031587,1.674221,0.547464,-0.357301,0.157768,1.358976,0.969249,-1.163372,1.323141,0.013333,1.320321,0.001500,0.88,-0.395,23.8
1.224202,0.027352,3.058059,0.434440,-0.097179,0.132778,1.468334,0.807844,-1.430148,1.117067,0.167074,1.114575,0.001500,0.65,-0.285,23.8
1.070812,0.042942,2.502625,0.724074,-0.196756,0.222737,0.656655,1.294680,-0.343184,1.786042,-0.179896,1.786040,0.001500,0.88,-0.285,23.8
0.879076,0.022330,1.968384,0.349957,-0.057831,0.101750,0.471962,0.645044,0.354195,0.926506,-1.531090,0.928052,0.001500,0.65,-0.175,23.8
0.857000,0.043839,2.108674,0.671584,-0.276074,0.203940,-4.119897,1.239952,-1.748982,1.805555,-1.987514,1.802518,0.001500,0.88,-0.175,23.8
1.066173,0.032958,2.068142,0.493219,-0.030594,0.161695,-0.854106,1.055653,1.878056,1.274369,1.351582,1.274305,0.001500,0.65,-0.065,23.8
1.307953,0.088114,4.716756,1.232241,-0.511811,0.433879,1.322632,2.537617,0.521132,3.107949,2.954649,3.123900,0.001500,0.88,-0.065,23.8
0.811867,0.028029,2.367705,0.453254,-0.274406,0.138432,-0.329304,0.880517,-0.090728,1.134023,-0.644935,1.133848,0.001500,0.65,0.045,23.8
0.745689,0.056756,2.140017,0.910451,-0.362267,0.297599,-1.612249,1.628808,1.423402,2.114903,2.232504,2.112362,0.001500,0.88,0.045,23.8
1.019089,0.023701,2.331969,0.349672,0.283887,0.106760,1.247439,0.669347,-1.720101,0.990729,-1.503387,0.985957,0.001500,0.65,-0.945,32.0
1.028358,0.024025,1.743356,0.384028,0.421815,0.103686,1.683913,0.693800,0.000872,0.992095,0.351677,0.990635,0.001500,0.88,-0.945,32.0
0.966049,0.019438,2.212921,0.296190,0.147083,0.092135,0.861995,0.592378,-1.763421,0.784153,-1.767660,0.781332,0.001500,0.65,-0.835,32.0
1.081515,0.026420,1.644369,0.422893,0.068769,0.124714,0.056841,0.762474,-0.495559,1.076514,-1.069152,1.074542,0.001500,0.88,-0.835,32.0
0.976633,0.019513,2.104543,0.309369,0.055289,0.091022,0.666921,0.590291,-0.871880,0.796228,0.319899,0.795390,0.001500,0.65,-0.725,32.0
1.050466,0.026126,2.053000,0.424051,-0.132211,0.125320,0.863103,0.768474,-1.484277,1.018086,0.676563,1.015607,0.001500,0.88,-0.725,32.0
0.981649,0.019687,1.804838,0.332840,-0.107451,0.096979,0.468640,0.604391,-1.468340,0.762492,-2.013671,0.762233,0.001500,0.65,-0.615,32.0
0.976944,0.026084,2.638202,0.437892,-0.149122,0.121155,0.248905,0.764236,0.672928,1.020559,-0.893943,1.021394,0.001500,0.88,-0.615,32.0
0.926585,0.018479,1.828328,0.299014,-0.039495,0.088723,0.559581,0.543869,-1.175136,0.735379,-0.313643,0.731709,0.001500,0.65,-0.505,32.0
0.886194,0.025652,1.826255,0.386382,-0.041085,0.119598,-0.277661,0.804515,0.372941,1.000167,-1.334562,1.000735,0.001500,0.88,-0.505,32.0
0.953844,0.019901,2.135544,0.304493,0.025128,0.090477,0.606992,0.579079,-0.432589,0.808572,0.639423,0.808050,0.001500,0.65,-0.395,32.0
0.918612,0.031377,1.488704,0.508674,-0.270001,0.146967,1.123157,0.900728,-1.096063,1.330499,-1.136745,1.328380,0.001500,0.88,-0.395,32.0
0.995648,0.022956,2.031620,0.385382,-0.115829,0.108499,-0.048764,0.688460,0.353641,0.957893,-0.695405,0.957338,0.001500,0.65,-0.285,32.0
0.845641,0.033470,1.384148,0.554026,-0.261488,0.165086,0.723383,1.031747,-0.158687,1.278466,2.427621,1.285126,0.001500,0.88,-0.285,32.0
0.946779,0.025852,2.469984,0.387381,-0.271095,0.124242,-0.854436,0.790559,0.634332,1.030610,0.496829,1.030927,0.001500,0.65,-0.175,32.0
1.168878,0.059212,1.634597,0.970425,-0.374509,0.311963,-3.302405,1.668509,-3.015700,2.091001,1.684658,2.048497,0.001500,0.88,-0.175,32.0
0.881995,0.027761,2.917615,0.417132,-0.100878,0.134735,1.038750,0.894758,-1.195327,1.051346,-0.210934,1.046778,0.001500,0.65,-0.065,32.0
1.126632,0.069319,1.518739,1.416936,-0.715665,0.361233,-0.542085,1.985195,-3.206248,2.699086,2.347336,2.657438,0.001500,0.88,-0.065,32.0
1.051114,0.038794,2.937791,0.608513,0.267454,0.162379,-0.308784,1.102251,0.997687,1.608465,-1.427697,1.609217,0.001500,0.65,0.045,32.0
0.722321,0.055417,2.779644,0.682645,-0.130173,0.272978,0.005846,1.783032,1.939568,2.295273,2.561370,2.327383,0.001500,0.88,0.045,32.0
1.061060,0.034109,2.806352,0.515087,0.315639,0.151465,0.759562,0.946902,-0.603225,1.361367,-1.345812,1.360987,0.001500,0.65,-0.945,42.8
0.905564,0.022790,1.805664,0.352899,0.184777,0.103010,0.463525,0.668029,-1.273053,0.862621,-0.973380,0.857752,0.001500,0.88,-0.945,42.8
1.086104,0.029675,2.597744,0.436103,0.236833,0.136067,2.576219,0.857962,0.971061,1.299215,-2.321643,1.301498,0.001500,0.65,-0.835,42.8
1.031369,0.026232,1.874845,0.419098,0.138750,0.116959,-0.783192,0.754437,-1.797446,1.013823,-0.361210,1.008672,0.001500,0.88,-0.835,42.8
1.019915,0.026646,2.684616,0.387308,0.188319,0.123297,0.614978,0.759666,-0.570806,1.136026,-0.883836,1.136573,0.001500,0.65,-0.725,42.8
1.005979,0.025991,1.476066,0.435573,0.129050,0.117183,1.320329,0.734446,-2.323279,1.138097,-0.350994,1.129392,0.001500,0.88,-0.725,42.8
