E (GeV), NuMu, NuMu Err., NuMuBar, NuMuBar Err., NuE, NuE Err., NuEBar, NuEBar Err.
0.013, 1.14E+05, 9.94E+02, 1.16E+05, 6.56E+02, 6.96E+04, 6.95E+02, 6.37E+04, 3.77E+02
0.015, 1.24E+05, 7.10E+02, 1.28E+05, 7.92E+02, 7.46E+04, 4.35E+02, 6.97E+04, 4.53E+02
0.017, 1.38E+05, 7.88E+02, 1.36E+05, 5.22E+02, 7.97E+04, 3.84E+02, 7.95E+04, 1.14E+03
0.019, 1.46E+05, 5.96E+02, 1.50E+05, 4.90E+02, 8.74E+04, 4.19E+02, 8.42E+04, 4.61E+02
0.021, 1.55E+05, 6.44E+02, 1.58E+05, 6.00E+02, 9.42E+04, 4.29E+02, 8.94E+04, 3.55E+02
0.024, 1.59E+05, 5.40E+02, 1.62E+05, 4.07E+02, 1.01E+05, 1.49E+03, 9.50E+04, 8.78E+02
0.027, 1.64E+05, 5.91E+02, 1.70E+05, 5.00E+02, 1.03E+05, 3.64E+02, 9.93E+04, 5.35E+02
0.03, 1.81E+05, 5.76E+02, 1.96E+05, 7.74E+02, 1.09E+05, 6.90E+02, 1.03E+05, 3.71E+02
0.033, 1.74E+05, 4.20E+02, 1.77E+05, 4.95E+02, 1.08E+05, 3.61E+02, 1.04E+05, 4.70E+02
0.038, 1.79E+05, 8.29E+02, 1.82E+05, 5.05E+02, 1.07E+05, 3.54E+02, 1.01E+05, 3.30E+02
0.042, 1.78E+05, 5.37E+02, 1.83E+05, 5.37E+02, 1.01E+05, 3.76E+02, 9.61E+04, 2.88E+02
0.047, 1.76E+05, 2.69E+02, 1.81E+05, 4.37E+02, 8.85E+04, 3.41E+02, 8.35E+04, 2.91E+02
0.053, 1.53E+05, 3.95E+02, 1.55E+05, 3.34E+02, 6.96E+04, 2.02E+02, 6.59E+04, 2.04E+02
0.06, 1.31E+05, 2.37E+02, 1.32E+05, 3.72E+02, 6.44E+04, 2.00E+02, 6.00E+04, 2.60E+02
0.067, 1.23E+05, 6.35E+02, 1.23E+05, 4.15E+02, 5.93E+04, 1.98E+02, 5.64E+04, 2.12E+02
0.075, 1.14E+05, 3.10E+02, 1.12E+05, 2.18E+02, 5.43E+04, 1.45E+02, 5.14E+04, 1.37E+02
0.084, 1.07E+05, 1.52E+02, 1.01E+05, 2.20E+02, 4.97E+04, 1.05E+02, 4.63E+04, 1.77E+02
0.094, 9.63E+04, 2.18E+02, 9.21E+04, 2.39E+02, 4.51E+04, 1.24E+02, 4.30E+04, 4.80E+02
0.106, 8.42E+04, 2.03E+02, 8.22E+04, 1.87E+02, 4.06E+04, 1.18E+02, 3.72E+04, 1.21E+02
0.119, 7.27E+04, 1.45E+02, 7.25E+04, 1.10E+02, 3.58E+04, 9.72E+01, 3.29E+04, 8.75E+01
0.133, 6.35E+04, 1.87E+02, 6.40E+04, 1.58E+02, 3.17E+04, 1.99E+02, 2.88E+04, 9.51E+01
0.15, 5.52E+04, 1.25E+02, 5.56E+04, 1.12E+02, 2.73E+04, 6.80E+01, 2.49E+04, 7.77E+01
0.168, 4.77E+04, 8.78E+01, 4.76E+04, 9.42E+01, 2.39E+04, 5.49E+01, 2.13E+04, 6.48E+01
0.188, 4.12E+04, 2.45E+02, 4.08E+04, 1.02E+02, 2.04E+04, 1.04E+02, 1.83E+04, 4.40E+01
0.211, 3.44E+04, 8.27E+01, 3.41E+04, 8.80E+01, 1.70E+04, 4.57E+01, 1.54E+04, 4.12E+01
0.237, 2.84E+04, 5.58E+01, 2.86E+04, 6.10E+01, 1.45E+04, 9.51E+01, 1.29E+04, 4.45E+01
0.266, 2.36E+04, 7.62E+01, 2.35E+04, 5.16E+01, 1.20E+04, 3.38E+01, 1.06E+04, 3.15E+01
0.299, 1.96E+04, 4.12E+01, 1.93E+04, 3.36E+01, 9.96E+03, 2.93E+01, 8.80E+03, 2.51E+01
0.335, 1.58E+04, 3.95E+01, 1.57E+04, 3.63E+01, 8.11E+03, 2.76E+01, 7.13E+03, 1.51E+01
0.376, 1.28E+04, 3.48E+01, 1.26E+04, 2.38E+01, 6.62E+03, 1.72E+01, 5.75E+03, 2.48E+01
0.422, 1.03E+04, 2.76E+01, 1.02E+04, 2.68E+01, 5.27E+03, 1.24E+01, 4.60E+03, 1.92E+01
0.473, 8.20E+03, 1.62E+01, 8.15E+03, 2.16E+01, 4.23E+03, 1.14E+01, 3.68E+03, 1.19E+01
0.531, 6.49E+03, 1.21E+01, 6.48E+03, 3.09E+01, 3.37E+03, 3.13E+01, 2.88E+03, 1.11E+01
0.596, 5.15E+03, 1.28E+01, 5.02E+03, 1.15E+01, 2.66E+03, 7.90E+00, 2.28E+03, 6.98E+00
0.668, 3.98E+03, 1.09E+01, 3.94E+03, 1.17E+01, 2.09E+03, 6.93E+00, 1.87E+03, 4.14E+01
0.75, 3.13E+03, 1.50E+01, 3.03E+03, 9.35E+00, 1.62E+03, 5.37E+00, 1.37E+03, 4.31E+00
0.841, 2.41E+03, 6.26E+00, 2.33E+03, 9.21E+00, 1.24E+03, 4.24E+00, 1.06E+03, 4.85E+00
0.944, 1.82E+03, 5.48E+00, 1.79E+03, 4.28E+00, 9.50E+02, 3.39E+00, 8.00E+02, 2.49E+00
