E (GeV), NuMu, NuMuBar, NuE, NuEBar
0.013, 1.14E+05, 1.16E+05, 6.96E+04, 6.37E+04
0.015, 1.24E+05, 1.28E+05, 7.46E+04, 6.97E+04
0.017, 1.38E+05, 1.36E+05, 7.97E+04, 7.95E+04
0.019, 1.46E+05, 1.50E+05, 8.74E+04, 8.42E+04
0.021, 1.55E+05, 1.58E+05, 9.42E+04, 8.94E+04
0.024, 1.59E+05, 1.62E+05, 1.01E+05, 9.50E+04
0.027, 1.64E+05, 1.70E+05, 1.03E+05, 9.93E+04
0.03, 1.81E+05, 1.96E+05, 1.09E+05, 1.03E+05
0.033, 1.74E+05, 1.77E+05, 1.08E+05, 1.04E+05
0.038, 1.79E+05, 1.82E+05, 1.07E+05, 1.01E+05
0.042, 1.78E+05, 1.83E+05, 1.01E+05, 9.61E+04
0.047, 1.76E+05, 1.81E+05, 8.85E+04, 8.35E+04
0.053, 1.53E+05, 1.55E+05, 6.96E+04, 6.59E+04
0.06, 1.31E+05, 1.32E+05, 6.44E+04, 6.00E+04
0.067, 1.23E+05, 1.23E+05, 5.93E+04, 5.64E+04
0.075, 1.14E+05, 1.12E+05, 5.43E+04, 5.14E+04
0.084, 1.07E+05, 1.01E+05, 4.97E+04, 4.63E+04
0.094, 9.63E+04, 9.21E+04, 4.51E+04, 4.30E+04
0.106, 8.42E+04, 8.22E+04, 4.06E+04, 3.72E+04
0.119, 7.27E+04, 7.25E+04, 3.58E+04, 3.29E+04
0.133, 6.35E+04, 6.40E+04, 3.17E+04, 2.88E+04
0.15, 5.52E+04, 5.56E+04, 2.73E+04, 2.49E+04
0.168, 4.77E+04, 4.76E+04, 2.39E+04, 2.13E+04
0.188, 4.12E+04, 4.08E+04, 2.04E+04, 1.83E+04
0.211, 3.44E+04, 3.41E+04, 1.70E+04, 1.54E+04
0.237, 2.84E+04, 2.86E+04, 1.45E+04, 1.29E+04
0.266, 2.36E+04, 2.35E+04, 1.20E+04, 1.06E+04
0.299, 1.96E+04, 1.93E+04, 9.96E+03, 8.80E+03
0.335, 1.58E+04, 1.57E+04, 8.11E+03, 7.13E+03
0.376, 1.28E+04, 1.26E+04, 6.62E+03, 5.75E+03
0.422, 1.03E+04, 1.02E+04, 5.27E+03, 4.60E+03
0.473, 8.20E+03, 8.15E+03, 4.23E+03, 3.68E+03
0.531, 6.49E+03, 6.48E+03, 3.37E+03, 2.88E+03
0.596, 5.15E+03, 5.02E+03, 2.66E+03, 2.28E+03
0.668, 3.98E+03, 3.94E+03, 2.09E+03, 1.87E+03
0.75, 3.13E+03, 3.03E+03, 1.62E+03, 1.37E+03
0.841, 2.41E+03, 2.33E+03, 1.24E+03, 1.06E+03
0.944, 1.82E+03, 1.79E+03, 9.50E+02, 8.00E+02
