Mon Apr  3 16:01:39 2023    output.dat

         348330 function calls (343552 primitive calls) in 3.735 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
29414/29412    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
    19197    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
    10903    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    10830    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
10371/9759    0.001    0.000    0.002    0.000 {built-in method builtins.len}
    10117    0.003    0.000    0.003    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
     9358    0.002    0.000    0.005    0.000 /usr/lib/python3.10/sre_parse.py:255(get)
     9356    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     8774    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     8019    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
6708/6704    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
     5652    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:393(_parse_letter_version)
     5547    0.001    0.000    0.002    0.000 /usr/lib/python3.10/posixpath.py:41(_get_sep)
     5366    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:271(<genexpr>)
     5272    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:81(__eq__)
     4994    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     4994    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     4959    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4294    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     4089    0.006    0.000    0.009    0.000 /usr/lib/python3.10/posixpath.py:71(join)
     4062    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     3464    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
     3431    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     3419    0.010    0.000    0.010    0.000 {built-in method posix.stat}
     3118    0.003    0.000    0.005    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2081(dist_factory)
     3045    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2358(_normalize_cached)
     2920    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     2914    0.011    0.000    0.026    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:261(__init__)
     2812    0.001    0.000    0.006    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2058(<genexpr>)
     2619    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     2577    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2519    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     2466    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x55ddbcd349a0}
     2446    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2109(__bool__)
     2425    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2212    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:459(<lambda>)
     2132    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     2056    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:301(<genexpr>)
     1884    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:432(_parse_local_version)
     1884    0.004    0.000    0.005    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:444(_cmpkey)
     1696    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:69(__lt__)
     1489    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:250(match)
     1365    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1352    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1352    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1348    0.001    0.000    0.018    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2026(try_parse)
     1230    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1213    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1184    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     1169    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
     1169    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:935(_is_dunder)
     1169    0.001    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:986(__setattr__)
     1167    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:161(__len__)
     1012    0.002    0.000    0.022    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2778(_get_metadata)
