Fri Apr 28 15:17:36 2023    output.dat

         2729 function calls (2619 primitive calls) in 0.002 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
        1    0.000    0.000    0.000    0.000 {method '_parse_whole' of 'xml.etree.ElementTree.XMLParser' objects}
        4    0.000    0.000    0.000    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/analysis_reader/ParseXML.py:212(reader)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.print}
     21/6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
     27/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       24    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      9/6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:71(join)
        8    0.000    0.000    0.001    0.000 /usr/lib/python3.10/argparse.py:1404(add_argument)
       22    0.000    0.000    0.001    0.000 /usr/lib/python3.10/re.py:288(_compile)
      341    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     24/9    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:175(getwidth)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/gettext.py:542(find)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:170(__init__)
      116    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
        1    0.000    0.000    0.001    0.001 /home/pablofer/Pheno/Fitter/Pynu/pynu/analysis_reader/ParseXML.py:9(__init__)
      246    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/gettext.py:211(_expand_lang)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/shutil.py:1377(get_terminal_size)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_compile.py:783(compile)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:674(__getitem__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1322(__init__)
       45    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/xml/etree/ElementTree.py:556(parse)
  215/194    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1883(_parse_known_args)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1545(_get_optional_kwargs)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:944(parse)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1465(_add_action)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/locale.py:396(normalize)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:603(_format_args)
        1    0.000    0.000    0.000    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/analysis_reader/ParseXML.py:114(readOscillations)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:409(__subclasshook__)
