real    0m10,293s
user    0m10,410s
sys     0m0,492s

Mon Mar 13 07:34:44 2023    output.dat

         289976 function calls (284001 primitive calls) in 9.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    7.318    0.407    7.553    0.420 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Oscillations/AtmOsc.py:37(GetOscillations)
      276    0.787    0.003    0.787    0.003 {method 'searchsorted' of 'numpy.ndarray' objects}
       69    0.508    0.007    1.459    0.021 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/Experiment.py:88(BinIt_MC_2D)
      151    0.236    0.002    0.236    0.002 {built-in method numpy.array}
        1    0.225    0.225    0.230    0.230 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
        1    0.147    0.147    0.290    0.290 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/ICUp_Atm.py:59(SetInitialFlux)
 2916/663    0.127    0.000    0.985    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
       18    0.035    0.002    7.594    0.422 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:145(ApplyOscillations)
      138    0.029    0.000    0.944    0.007 /usr/lib/python3/dist-packages/numpy/lib/histograms.py:943(histogramdd)
      734    0.022    0.000    0.022    0.000 {built-in method numpy.asanyarray}
       17    0.016    0.001    1.090    0.064 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:104(SetBinnedDiffExpectedEvents)
        2    0.016    0.008    0.016    0.008 {built-in method _imp.create_dynamic}
        1    0.015    0.015    0.023    0.023 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/ICUp_Atm.py:28(MCVariables)
       35    0.015    0.000    0.018    0.001 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/CrossSection/WaterXSection.py:14(XSecNuTau)
       59    0.014    0.000    0.014    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/Experiment.py:136(UpdateObservedWeights)
        1    0.013    0.013    0.013    0.013 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Oscillations/Oscillations.py:71(SetUpOscillator)
     2402    0.009    0.000    0.020    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:261(__init__)
       17    0.009    0.001    0.044    0.003 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:200(GetDiffLogWeights)
       35    0.008    0.000    0.013    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Flux/AtmoFlux.py:50(NuNuBarRatio)
        4    0.007    0.002    0.007    0.002 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2060(_stack_arrays)
        2    0.007    0.003    0.014    0.007 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2091(_merge_blocks)
   369/68    0.007    0.000    0.018    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
       17    0.006    0.000    0.007    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/CrossSection/WaterXSection.py:19(Diff_XSecNuTau)
       45    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
       17    0.006    0.000    0.006    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/Experiment.py:120(UpdateExpectedWeights)
        1    0.006    0.006    0.006    0.006 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Flux/AtmoFlux.py:40(FluxTilt)
       35    0.006    0.000    0.010    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Flux/AtmoFlux.py:20(FluxNormalization_Below1GeV)
     1886    0.005    0.000    0.005    0.000 {built-in method posix.stat}
        1    0.005    0.005    0.005    0.005 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/ICUp_Atm.py:79(NEUTMode)
     3725    0.004    0.000    0.007    0.000 /usr/lib/python3.10/posixpath.py:71(join)
      282    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
       17    0.004    0.000    0.005    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Flux/AtmoFlux.py:55(Diff_NuNuBarRatio)
    11119    0.004    0.000    0.004    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
        3    0.004    0.001    0.004    0.001 {method 'tolist' of 'numpy.ndarray' objects}
      146    0.003    0.000    0.003    0.000 {built-in method _codecs.utf_8_decode}
        1    0.003    0.003    0.003    0.003 {method 'sort' of 'numpy.ndarray' objects}
       66    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
24576/24574    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
       17    0.003    0.000    0.004    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Flux/AtmoFlux.py:25(Diff_FluxNormalization_Below1GeV)
     2402    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
   612/65    0.003    0.000    0.006    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
